[9700:14172:1216/151508.109:WARNING:chrome_main_delegate.cc(672)] This is Chrome version 131.0.6778.140 (not a warning)
[9700:14172:1216/151508.200:INFO:chrome_browser_cloud_management_controller.cc(196)] No machine level policy manager exists.
[9532:2300:1216/151508.601:WARNING:viz_main_impl.cc(85)] VizNullHypothesis is disabled (not a warning)
[9700:14172:1216/151546.622:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=Question%C3%A1rio+sobre+O+Padrinho+Parte+II&form=dsetqu&rnoreward=1 (6)
[9700:14172:1216/151546.622:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=Question%C3%A1rio+sobre+O+Padrinho+Parte+II&form=dsetqu&rnoreward=1 (6)
[9700:14172:1216/151547.178:INFO:CONSOLE(1)] "Listener added for a 'DOMNodeInserted' mutation event. Support for this event type has been removed, and this event will no longer be fired. See https://chromestatus.com/feature/5083947249172480 for more information.", source: https://r.bing.com/rp/eKvcHdnNwo1WcxoSioV4ztnfZk8.br.js (1)
[9700:14172:1216/151547.178:INFO:CONSOLE(1)] "Listener added for a 'DOMNodeRemoved' mutation event. Support for this event type has been removed, and this event will no longer be fired. See https://chromestatus.com/feature/5083947249172480 for more information.", source: https://r.bing.com/rp/eKvcHdnNwo1WcxoSioV4ztnfZk8.br.js (1)
[9700:14172:1216/151550.155:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=Quote%20of%20the%20day&form=ML2BFU&OCID=ML2BFU&PUBL=RewardsDO&PROGRAMNAME=QuoteOfTheDay&CREA=ML2BFU (6)
[9700:14172:1216/151550.155:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=Quote%20of%20the%20day&form=ML2BFU&OCID=ML2BFU&PUBL=RewardsDO&PROGRAMNAME=QuoteOfTheDay&CREA=ML2BFU (6)
[9700:14172:1216/151550.155:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=Quote%20of%20the%20day&form=ML2BFU&OCID=ML2BFU&PUBL=RewardsDO&PROGRAMNAME=QuoteOfTheDay&CREA=ML2BFU (6)
[9700:14172:1216/151550.155:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=Quote%20of%20the%20day&form=ML2BFU&OCID=ML2BFU&PUBL=RewardsDO&PROGRAMNAME=QuoteOfTheDay&CREA=ML2BFU (6)
[9700:14172:1216/151550.155:INFO:CONSOLE(6)] "Rendering was performed in a subtree hidden by content-visibility.", source: https://www.bing.com/search?q=Quote%20of%20the%20day&form=ML2BFU&OCID=ML2BFU&PUBL=RewardsDO&PROGRAMNAME=QuoteOfTheDay&CREA=ML2BFU (6)
[9700:14172:1216/151551.528:INFO:CONSOLE(1)] "Listener added for a 'DOMNodeInserted' mutation event. Support for this event type has been removed, and this event will no longer be fired. See https://chromestatus.com/feature/5083947249172480 for more information.", source: https://r.bing.com/rp/eKvcHdnNwo1WcxoSioV4ztnfZk8.br.js (1)
